,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801200,商业贸易,2020-12-31,3182.36,3233.83,3182.27,3233.83,9.76,72.61,1.64
1,801200,商业贸易,2020-12-30,3198.12,3208.68,3179.35,3181.64,9.46,65.26,-0.28
2,801200,商业贸易,2020-12-29,3192.23,3211.88,3182.86,3190.46,8.78,61.23,0.32
3,801200,商业贸易,2020-12-28,3224.26,3224.26,3172.53,3180.22,9.66,74.16,-1.46
4,801200,商业贸易,2020-12-25,3228.80,3244.93,3210.74,3227.21,7.33,56.04,-0.58
5,801200,商业贸易,2020-12-24,3313.43,3313.60,3236.48,3245.90,9.50,73.48,-2.28
6,801200,商业贸易,2020-12-23,3291.74,3331.33,3287.09,3321.50,10.53,83.84,0.83
7,801200,商业贸易,2020-12-22,3331.56,3351.47,3289.19,3294.11,10.06,78.27,-1.28
8,801200,商业贸易,2020-12-21,3329.04,3346.34,3308.08,3336.83,8.26,62.37,0.23
9,801200,商业贸易,2020-12-18,3352.10,3357.82,3323.49,3329.11,8.51,62.54,-0.86
10,801200,商业贸易,2020-12-17,3336.26,3358.94,3292.06,3357.86,9.34,71.07,0.54
11,801200,商业贸易,2020-12-16,3359.13,3359.37,3337.78,3339.71,8.94,64.09,-0.77
12,801200,商业贸易,2020-12-15,3379.92,3380.42,3352.13,3365.73,8.28,70.63,-0.63
13,801200,商业贸易,2020-12-14,3343.68,3388.87,3337.83,3387.03,10.46,77.84,1.31
14,801200,商业贸易,2020-12-11,3393.95,3394.11,3319.44,3343.10,10.94,79.34,-1.78
15,801200,商业贸易,2020-12-10,3397.08,3423.44,3388.13,3403.58,8.67,60.74,-0.09
16,801200,商业贸易,2020-12-09,3485.35,3485.40,3406.61,3406.61,10.95,81.69,-2.43
17,801200,商业贸易,2020-12-08,3509.70,3509.78,3487.96,3491.42,8.58,63.50,-0.56
18,801200,商业贸易,2020-12-07,3523.51,3527.53,3505.10,3510.91,9.20,66.34,-0.28
19,801200,商业贸易,2020-12-04,3529.52,3529.70,3508.14,3520.84,7.73,56.61,-0.21
20,801200,商业贸易,2020-12-03,3513.50,3540.24,3492.35,3528.17,10.53,71.97,0.42
21,801200,商业贸易,2020-12-02,3514.32,3520.20,3501.56,3513.40,9.58,68.03,-0.09
22,801200,商业贸易,2020-12-01,3496.88,3520.54,3491.01,3516.71,9.21,72.26,0.28
23,801200,商业贸易,2020-11-30,3509.07,3510.28,3488.33,3506.91,10.43,79.94,0.01
24,801200,商业贸易,2020-11-27,3487.77,3506.47,3473.44,3506.47,8.31,58.12,0.46
25,801200,商业贸易,2020-11-26,3489.92,3499.61,3467.07,3490.56,8.00,58.83,-0.06
26,801200,商业贸易,2020-11-25,3546.90,3547.93,3492.62,3492.68,9.01,69.39,-1.52
27,801200,商业贸易,2020-11-24,3562.75,3562.88,3542.24,3546.72,8.58,63.37,-0.43
28,801200,商业贸易,2020-11-23,3554.99,3576.81,3536.92,3562.02,9.73,76.05,0.12
29,801200,商业贸易,2020-11-20,3550.26,3558.34,3537.77,3557.77,7.88,58.23,-0.05
30,801200,商业贸易,2020-11-19,3561.12,3564.22,3537.50,3559.72,8.68,67.94,-0.27
31,801200,商业贸易,2020-11-18,3574.08,3591.36,3555.61,3569.28,9.92,78.95,-0.14
32,801200,商业贸易,2020-11-17,3615.84,3615.91,3564.12,3574.30,11.91,99.75,-0.93
33,801200,商业贸易,2020-11-16,3571.97,3607.72,3560.73,3607.72,11.15,91.15,1.62
34,801200,商业贸易,2020-11-13,3576.31,3576.45,3532.51,3550.33,6.92,58.11,-0.82
35,801200,商业贸易,2020-11-12,3589.05,3589.73,3559.69,3579.54,7.43,62.73,-0.21
36,801200,商业贸易,2020-11-11,3598.45,3614.73,3581.07,3587.07,9.32,75.27,-0.45
37,801200,商业贸易,2020-11-10,3670.16,3670.16,3585.72,3603.19,10.84,89.85,-1.50
38,801200,商业贸易,2020-11-09,3632.68,3670.43,3632.64,3658.02,11.44,93.51,1.33
39,801200,商业贸易,2020-11-06,3627.51,3627.52,3586.65,3610.04,9.04,72.59,-0.32
40,801200,商业贸易,2020-11-05,3570.86,3621.56,3562.22,3621.56,10.44,81.63,2.10
41,801200,商业贸易,2020-11-04,3575.19,3575.22,3519.17,3546.94,7.30,56.66,-0.80
42,801200,商业贸易,2020-11-03,3526.36,3579.40,3524.46,3575.52,8.50,67.96,1.70
43,801200,商业贸易,2020-11-02,3532.07,3545.71,3504.63,3515.91,8.53,65.48,-0.90
44,801200,商业贸易,2020-10-30,3620.22,3625.45,3542.14,3547.79,8.70,67.56,-1.90
45,801200,商业贸易,2020-10-29,3586.72,3629.44,3574.40,3616.44,6.68,53.28,-0.31
46,801200,商业贸易,2020-10-28,3624.67,3631.37,3588.09,3627.52,6.95,55.10,0.04
47,801200,商业贸易,2020-10-27,3640.31,3646.34,3613.77,3626.21,6.23,50.59,-0.74
48,801200,商业贸易,2020-10-26,3666.57,3666.72,3618.17,3653.43,6.20,51.34,-0.33
49,801200,商业贸易,2020-10-23,3710.18,3733.49,3655.81,3665.35,6.83,58.36,-1.27
50,801200,商业贸易,2020-10-22,3717.19,3718.86,3693.24,3712.64,7.09,57.89,-0.23
51,801200,商业贸易,2020-10-21,3744.93,3751.08,3709.51,3721.25,7.95,65.26,-0.68
52,801200,商业贸易,2020-10-20,3694.71,3746.86,3671.24,3746.86,7.40,59.97,1.24
53,801200,商业贸易,2020-10-19,3719.97,3752.50,3692.04,3700.83,7.39,61.09,-0.12
54,801200,商业贸易,2020-10-16,3731.03,3731.03,3687.92,3705.14,6.18,51.04,-0.62
55,801200,商业贸易,2020-10-15,3752.74,3758.65,3721.68,3728.19,7.39,58.67,-0.58
56,801200,商业贸易,2020-10-14,3805.15,3805.59,3742.20,3749.81,7.87,66.66,-1.32
57,801200,商业贸易,2020-10-13,3817.87,3818.29,3776.16,3799.97,7.83,64.16,-0.49
58,801200,商业贸易,2020-10-12,3715.56,3818.65,3713.59,3818.65,11.97,103.78,3.23
59,801200,商业贸易,2020-10-09,3660.39,3704.91,3660.30,3699.05,8.27,70.28,2.31
60,801200,商业贸易,2020-09-30,3648.81,3648.83,3593.26,3615.59,6.42,52.62,-0.62
61,801200,商业贸易,2020-09-29,3654.60,3669.87,3623.69,3638.04,7.82,59.88,-0.29
62,801200,商业贸易,2020-09-28,3697.73,3703.51,3642.78,3648.80,8.06,64.35,-1.32
63,801200,商业贸易,2020-09-25,3691.76,3708.98,3678.74,3697.49,7.55,60.19,0.19
64,801200,商业贸易,2020-09-24,3759.27,3759.66,3686.62,3690.30,9.28,69.68,-2.22
65,801200,商业贸易,2020-09-23,3773.34,3779.04,3751.35,3774.21,6.97,56.28,0.20
66,801200,商业贸易,2020-09-22,3796.14,3815.13,3756.16,3766.66,9.82,74.41,-1.49
67,801200,商业贸易,2020-09-21,3825.15,3845.56,3816.12,3823.80,10.94,93.27,0.16
68,801200,商业贸易,2020-09-18,3757.06,3820.73,3754.86,3817.51,10.51,87.72,1.55
69,801200,商业贸易,2020-09-17,3772.74,3780.55,3722.53,3759.07,8.90,72.44,-0.24
70,801200,商业贸易,2020-09-16,3778.55,3782.98,3754.49,3768.19,8.17,65.83,-0.43
71,801200,商业贸易,2020-09-15,3767.72,3784.44,3746.14,3784.44,8.79,76.60,0.38
72,801200,商业贸易,2020-09-14,3775.89,3784.19,3744.30,3769.93,9.45,80.38,-0.06
73,801200,商业贸易,2020-09-11,3713.51,3773.13,3709.23,3772.33,9.10,83.14,1.22
74,801200,商业贸易,2020-09-10,3778.63,3814.45,3718.32,3726.78,13.26,97.95,-0.79
75,801200,商业贸易,2020-09-09,3829.04,3834.31,3752.34,3756.49,15.17,106.98,-2.69
76,801200,商业贸易,2020-09-08,3865.84,3874.23,3822.67,3860.38,11.07,81.06,0.24
77,801200,商业贸易,2020-09-07,3926.16,3937.30,3835.36,3851.14,11.80,99.58,-1.88
78,801200,商业贸易,2020-09-04,3880.13,3929.27,3859.89,3924.95,10.85,87.10,-0.22
79,801200,商业贸易,2020-09-03,3976.92,3984.36,3924.11,3933.49,13.09,102.18,-1.01
80,801200,商业贸易,2020-09-02,3936.59,3981.57,3935.90,3973.82,14.08,112.15,1.37
81,801200,商业贸易,2020-09-01,3932.01,3932.01,3886.60,3920.24,11.33,88.86,-0.43
82,801200,商业贸易,2020-08-31,3964.49,3982.09,3937.29,3937.29,12.49,104.28,-0.40
