symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh000909,300材料,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000909,
sh000910,300工业,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000910,
sh000911,300可选,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000911,
sh000912,300消费,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000912,
sh000913,300医药,17863.1582,-29.087,-0.163,0,0,17892.2456,17942.7349,18167.9448,17667.3480,6214370,41286677562,000913,15:02:14
sh000914,300金融,7012.9942,7.160,0.102,0,0,7005.8342,7010.6788,7073.4914,6959.8757,56109123,89869473509,000914,15:02:14
sh000917,300公用,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000917,
sh000918,300成长,7819.4765,-68.996,-0.875,0,0,7888.4723,7910.9428,7946.0345,7737.7698,45210770,207526473859,000918,15:02:14
sh000919,300价值,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000919,
sh000922,中证红利,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000922,
sh000925,基本面50,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000925,
sh000928,中证能源,1623.9564,15.356,0.955,0,0,1608.6007,1618.7327,1630.0697,1608.2916,11066846,7745866678,000928,15:02:14
sh000931,中证可选,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000931,
sh000932,中证消费,29759.5583,-849.637,-2.776,0,0,30609.1954,30615.2463,30754.1821,29485.8736,20080667,84626982208,000932,15:02:14
sh000933,中证医药,15803.1989,35.909,0.228,0,0,15767.2901,15790.1575,15977.7763,15653.5330,13244674,57898685118,000933,15:02:14
sh000934,中证金融,6640.9616,6.089,0.092,0,0,6634.8723,6637.5097,6695.3916,6594.2485,73121656,101075839735,000934,15:02:14
sh000935,中证信息,5990.0103,86.778,1.470,0,0,5903.2322,5920.7393,6009.0402,5915.3565,50159877,109654677842,000935,15:02:14
sh000939,民企200,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000939,
sh000940,财富大盘,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000940,
sh000944,内地资源,2954.3610,11.085,0.377,0,0,2943.2759,2970.2940,2973.5921,2854.9762,48661310,48738112340,000944,15:02:14
sh000950,300基建,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000950,
sh000951,300银行,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000951,
sh000952,300地产,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000952,
sh000957,300运输,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000957,
sh000958,创业成长,1871.1654,-7.655,-0.407,0,0,1878.8204,1889.5612,1889.6100,1847.0727,11864219,54664257578,000958,15:02:14
sh000959,银河99,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000959,
sh000961,中证上游,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000961,
sh000963,中证下游,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000963,
sh000964,中证新兴,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000964,
sh000966,基本400,7362.4450,-0.001,-0.000,0,0,7362.4458,7370.7845,7398.9365,7292.1422,156345872,261872230451,000966,15:02:14
sh000969,300非周,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000969,
sh000971,等权90,3936.6784,-4.062,-0.103,0,0,3940.7400,3955.1887,3967.2432,3899.1085,86073387,282849661513,000971,15:02:14
sh000974,800金融,6998.8017,-5.128,-0.073,0,0,7003.9294,7008.7544,7066.7152,6948.1504,61855414,90495899466,000974,15:04:02
sh000975,钱江30,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000975,
sh000977,内地低碳,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000977,
sh000978,医药100,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000978,
sh000979,大宗商品,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000979,
sh000982,500等权,7418.9056,34.880,0.472,0,0,7384.0260,7382.7173,7462.6067,7327.5599,180837429,207113827944,000982,15:02:14
sh000983,智能资产,0.0000,0.000,0.000,0,0,0.0000,0.0000,0.0000,0.0000,0,0,000983,
sh000984,300等权,5207.8786,14.451,0.278,0,0,5193.4278,5197.2200,5217.8775,5160.8982,204324956,473567653979,000984,15:02:14
sh000986,全指能源,1472.2098,2.243,0.153,0,0,1469.9672,1475.0004,1482.8098,1460.0680,19257814,11966996983,000986,15:02:14
sh000987,全指材料,3787.4733,-10.409,-0.274,0,0,3797.8827,3803.7397,3810.7145,3715.3380,123719811,140543768654,000987,15:02:14
sh000989,全指可选,6200.4960,24.882,0.403,0,0,6175.6135,6189.5082,6246.3317,6128.2692,80758390,106874644072,000989,15:02:14
sh000990,全指消费,25531.9069,-680.665,-2.597,0,0,26212.5715,26210.7725,26328.5552,25295.6644,38024865,115020455836,000990,15:02:14
sh000991,全指医药,15449.5745,3.809,0.025,0,0,15445.7653,15463.2062,15612.2738,15317.4997,26999584,85941889101,000991,15:02:14
sh000992,全指金融,6282.2825,6.096,0.097,0,0,6276.1867,6278.7272,6331.4319,6239.6326,82278764,108076296226,000992,15:02:14
sh000993,全指信息,7079.6504,90.128,1.289,0,0,6989.5221,6998.5813,7118.1723,6978.6408,88194579,164217915257,000993,15:02:14
sh000998,中证TMT,2368.3548,42.736,1.838,0,0,2325.6190,2327.4072,2382.3144,2327.4072,56323417,124714727698,000998,15:02:14
sz399001,深证成指,15319.291,-37.112,-0.242,0.000,0.000,15356.403,15402.742,15453.179,15162.706,42006272822,630105126981,399001,15:00:03
sz399002,深成指R,19015.322,-46.065,-0.242,0.000,0.000,19061.387,19118.906,19181.512,18820.957,20179399666,415957969209,399002,15:00:03
sz399003,成份Ｂ指,7510.165,-35.555,-0.471,0.000,0.000,7545.720,7541.257,7587.132,7471.979,40282866,153745553,399003,15:00:03
sz399004,深证100R,9778.873,-55.869,-0.568,0.000,0.000,9834.742,9877.765,9918.185,9664.505,6967755896,235007322128,399004,15:00:03
sz399005,中小板指,10318.909,-9.202,-0.089,0.000,0.000,10328.111,10391.592,10430.358,10213.710,17882066920,265210959883,399005,15:00:03
sz399006,创业板指,3150.780,-11.618,-0.367,0.000,0.000,3162.398,3179.365,3194.366,3115.992,11127174585,215418741249,399006,15:00:03
sz399007,深证300,6788.407,-17.739,-0.261,0.000,0.000,6806.146,6830.344,6855.543,6714.994,14977941184,355375078225,399007,15:00:03
sz399008,中小300,1841.706,-1.342,-0.073,0.000,0.000,1843.048,1850.503,1856.079,1822.057,10567056832,197650241011,399008,15:00:03
sz399009,深证200,5294.104,28.285,0.537,0.000,0.000,5265.819,5273.344,5325.235,5229.399,8010185288,120367756097,399009,15:00:03
sz399010,深证700,6882.881,-7.043,-0.102,0.000,0.000,6889.924,6877.546,6940.323,6773.306,13127876478,146061484052,399010,15:00:03
sz399011,深证1000,6932.293,-15.451,-0.222,0.000,0.000,6947.744,6963.467,6983.469,6866.039,28105817662,501436562277,399011,15:00:03
sz399012,创业300,4082.717,-8.282,-0.202,0.000,0.000,4090.999,4106.137,4122.361,4041.610,5544994910,150387997929,399012,15:00:03
sz399013,深市精选,6624.791,-29.155,-0.438,0.000,0.000,6653.946,6668.302,6689.251,6560.793,11833694998,279553637699,399013,15:00:03
sz399015,中小创新,2207.253,-2.293,-0.104,0.000,0.000,2209.546,2204.294,2224.891,2165.029,7926417996,85478593068,399015,15:00:03
sz399016,深证创新,4501.628,21.250,0.474,0.000,0.000,4480.378,4487.631,4534.590,4450.419,2703030458,111636195633,399016,15:00:03
sz399017,SME创新,3831.336,15.764,0.413,0.000,0.000,3815.572,3826.536,3847.875,3788.132,3364978385,86532400199,399017,15:00:03
sz399018,创业创新,4645.891,13.724,0.296,0.000,0.000,4632.167,4635.527,4700.150,4587.530,1341300512,61983521493,399018,15:00:03
sz399050,创新引擎,3668.217,35.371,0.974,0.000,0.000,3632.846,3665.446,3690.633,3625.753,2570068864,63698064052,399050,15:00:03
sz399088,深创100,5095.354,4.337,0.085,0.000,0.000,5091.017,5124.543,5152.669,5032.156,5536733869,177360112190,399088,15:00:03
sz399100,新 指 数,10954.042,-35.079,-0.319,0.000,0.000,10989.121,11005.106,11032.804,10858.077,40850527466,622748227494,399100,15:00:03
sz399101,中小板综,13298.025,-16.386,-0.123,0.000,0.000,13314.411,13348.988,13387.508,13165.006,17882066920,265210959883,399101,15:00:03
sz399102,创业板综,3177.346,-7.049,-0.221,0.000,0.000,3184.395,3193.610,3204.657,3146.552,11127174585,215418741249,399102,15:00:03
sz399103,乐富指数,8717.048,-17.555,-0.201,0.000,0.000,8734.603,8742.349,8773.409,8656.500,6839677334,11878483274,399103,15:00:03
sz399106,深证综指,2419.498,-7.159,-0.295,0.000,0.000,2426.657,2429.909,2436.387,2398.235,42006272822,630105126981,399106,15:00:03
sz399107,深证Ａ指,2531.971,-7.490,-0.295,0.000,0.000,2539.461,2542.871,2549.651,2509.690,41953500057,629918643127,399107,15:00:03
sz399108,深证Ｂ指,1106.290,-3.788,-0.341,0.000,0.000,1110.078,1109.675,1113.729,1101.233,52772765,186483853,399108,15:00:03
sz399231,农林指数,1817.218,-30.485,-1.650,0.000,0.000,1847.703,1854.257,1854.257,1796.130,700540745,12724560390,399231,15:00:03
