行业代码,行业名称,最新市盈率,股票家数,亏损家数,近一个月,近三个月,近六个月,近一年
Q,卫生和社会工作业,155.21,12,6,150.52,136.02,121.67,97.82
83,卫生,155.21,12,6,150.52,136.02,121.67,97.82
84,社会工作,--,0,0,--,--,--,--
R,文化、体育和娱乐业,23.87,55,10,23.68,24.79,25.66,24.68
85,新闻和出版业,12.68,23,1,13.36,14.15,14.79,14.82
86,广播、电视、电影和影视录音制作业,22.26,23,8,23.67,25.04,27.69,27.76
87,文化艺术业,68.11,8,1,62.05,63.82,63.55,58.66
88,体育,--,1,0,--,--,--,--
89,娱乐业,--,0,0,--,--,--,--
S,综合,25.97,13,0,27.34,28.9,30.49,30.95
90,综合,25.97,13,0,27.34,28.9,30.49,30.95
